Team	RPREC	NDCG	CLICKS	DATE
Anadolu	0.16602	0.282597	3.0538	2018-06-2812:21:38
Anatolian	0.160984	0.291952	4.826	2018-06-2815:34:11
BachPropagate	0.202971	0.367307	2.3172	2018-06-1017:55:53
BeautyandBeast	0.202147	0.363627	2.7504	2018-06-2823:33:18
CreamyFireflies	0.219997	0.385235	1.9554	2018-06-2900:09:27
D2KLab	0.174018	0.312651	3.741	2018-06-2818:47:03
FreshwaterSea	0.195325	0.351593	2.2244	2018-06-2623:08:58
HitsHitsHits!	0.103897	0.218414	8.005	2018-06-2601:54:15
JCB	0.11432	0.220063	6.0454	2018-06-2807:57:17
JKU-Beta	0.108103	0.122049	10.3728	2018-06-2714:58:22
JKU_Alpha	0.046559	0.100697	13.518	2018-06-1216:23:21
KAENEN	0.199687	0.361336	2.3338	2018-06-2820:50:06
KSICUNI.cz	0.100992	0.195693	7.0304	2018-06-2823:29:54
LosPlaylistos	0.081244	0.230175	4.899	2018-05-2921:17:45
MIPT_MSU	0.209484	0.37257	2.1416	2018-06-0820:04:01
STORMtroopers	0.15905	0.290105	3.0362	2018-06-2321:47:13
TUW-1525567	0.191087	0.347952	2.5152	2018-06-2812:25:57
TUW-e00828324	0.161425	0.292768	4.659	2018-06-2619:33:09
TUW-mgabr	0.025545	0.066776	14.5356	2018-06-2611:16:00
TeamRadboud	0.198239	0.356898	2.3442	2018-06-2818:35:16
TomWang	0.205274	0.368302	2.3094	2018-06-2823:30:18
Trailmix	0.205087	0.369938	2.2826	2018-06-2823:31:04
WeirdEight	0.205272	0.369544	2.3036	2018-06-2823:31:55
WreckSys	0.039316	0.082654	18.137	2018-06-1704:27:11
cocoplaya	0.203439	0.364715	1.9354	2018-06-2822:15:14
diblois	0.017423	0.033827	32.086	2018-06-2222:15:13
insightify	0.16477	0.2939	6.2988	2018-06-2721:41:00
minrva	0.058595	0.089597	13.1988	2018-06-2609:36:09
mpac	0.182823	0.33208	3.4344	2018-05-0805:21:40
spotif.ai	0.186592	0.327754	2.5724	2018-06-2823:32:29
teamrozik	0.205112	0.361118	2.2122	2018-06-2820:15:28
