Team	RPREC	NDCG	CLICKS	DATE
Anadolu	0.084559	0.218648	5.8684	2018-05-0823:58:34
Anadolu	0.085821	0.220078	5.8554	2018-05-1013:18:55
Anadolu	0.034846	0.100751	13.5366	2018-05-1122:41:41
Anadolu	0.026543	0.076274	14.9044	2018-05-1210:50:59
Anadolu	0.086692	0.221094	5.729	2018-05-1302:15:20
Anadolu	0.088881	0.219986	5.3316	2018-05-1518:00:53
Anadolu	0.085303	0.213606	5.8954	2018-05-1712:09:04
Anadolu	0.108457	0.252296	4.7004	2018-05-2017:22:31
Anadolu	0.128213	0.252296	4.7004	2018-05-2017:22:31
Anadolu	0.16293	0.27981	2.9976	2018-06-2213:46:56
Anadolu	0.16272	0.279907	2.983	2018-06-2313:49:40
Anadolu	0.164158	0.28126	3.0048	2018-06-2419:49:10
Anadolu	0.16602	0.282597	3.0538	2018-06-2812:21:38
Anatolian	0.15757	0.290537	4.5856	2018-06-0909:28:14
Anatolian	0.15757	0.290537	4.5856	2018-06-2123:50:06
Anatolian	0.160984	0.291952	4.826	2018-06-2815:34:11
BachPropagate	0.179123	0.367805	2.306	2018-06-0222:45:06
BachPropagate	0.177264	0.364139	3.0106	2018-06-0800:58:46
BachPropagate	0.202971	0.367307	2.3172	2018-06-1017:55:53
BeautyandBeast	0.174847	0.323472	2.9554	2018-06-2623:35:05
BeautyandBeast	0.174847	0.323472	2.9554	2018-06-2623:36:21
BeautyandBeast	0.203051	0.365617	2.3158	2018-06-2722:22:46
BeautyandBeast	0.202147	0.363627	2.7504	2018-06-2823:33:18
CreamyFireflies	0.175848	0.329157	2.816	2018-05-0922:43:52
CreamyFireflies	0.060816	0.152369	10.1128	2018-05-1117:15:27
CreamyFireflies	0.180834	0.330385	2.7814	2018-05-1219:09:54
CreamyFireflies	0.187648	0.368997	2.3894	2018-05-1522:39:17
CreamyFireflies	0.016299	0.041962	32.725601	2018-05-1723:18:06
CreamyFireflies	0.168831	0.312382	6.343	2018-05-2100:43:58
CreamyFireflies	0.151181	0.310139	6.1472	2018-05-2121:06:41
CreamyFireflies	0.179648	0.361041	3.005	2018-05-2221:26:33
CreamyFireflies	0.184403	0.363123	2.7484	2018-06-0323:36:09
CreamyFireflies	0.191034	0.374277	2.0066	2018-06-0414:51:07
CreamyFireflies	0.190814	0.37383	1.9952	2018-06-0723:22:38
CreamyFireflies	0.215911	0.37383	1.9952	2018-06-0723:22:38
CreamyFireflies	0.217744	0.379545	2.0056	2018-06-2121:35:30
CreamyFireflies	0.213788	0.372787	2.047	2018-06-2400:46:41
CreamyFireflies	0.217779	0.381087	1.9838	2018-06-2423:14:31
CreamyFireflies	0.216728	0.380802	2.0134	2018-06-2600:44:16
CreamyFireflies	0.218787	0.384267	1.98	2018-06-2700:52:16
CreamyFireflies	0.219997	0.385235	1.9554	2018-06-2900:09:27
D2KLab	0.178108	0.319858	3.3404	2018-06-2421:20:53
D2KLab	0.179274	0.321331	3.352	2018-06-2518:07:02
D2KLab	0.174018	0.312651	3.741	2018-06-2818:47:03
FreshwaterSea	0.165742	0.342545	2.2084	2018-05-1010:42:54
FreshwaterSea	0.191365	0.342545	2.2084	2018-05-1010:42:54
FreshwaterSea	0.085726	0.177431	6.097	2018-06-1217:28:37
FreshwaterSea	0.107706	0.221366	3.7206	2018-06-1607:13:26
FreshwaterSea	0.175329	0.325143	2.3142	2018-06-1908:59:08
FreshwaterSea	0.195325	0.351593	2.2244	2018-06-2623:08:58
HitsHitsHits!	0.087334	0.180004	8.296	2018-05-2217:35:04
HitsHitsHits!	0.063324	0.129772	13.9708	2018-06-2115:39:54
HitsHitsHits!	0.103897	0.218414	8.005	2018-06-2601:54:15
JCB	0.08894	0.206684	6.8844	2018-05-2705:47:55
JCB	0.108623	0.206684	6.8844	2018-05-2705:47:55
JCB	0.11432	0.220063	6.0454	2018-06-2807:57:17
JKU-Beta	0.078743	0.174322	8.8386	2018-05-1514:49:50
