Team	RPREC	NDCG	CLICKS	DATE
10hours	0.097824	0.179324	25.0642	2018-06-0617:57:16
4027	0.024764	0.093801	18.9706	2018-06-2420:13:52
AdremDataLab	0.127484	0.257673	4.9172	2018-06-2610:45:57
Anadolu	0.162429	0.280248	3.042	2018-06-2610:32:54
Anatolian	0.15757	0.290537	4.5856	2018-06-2121:49:40
Avito	0.215251	0.385108	1.7884	2018-07-0101:55:54
BKAI	0.195473	0.353658	2.5226	2018-07-0104:47:56
BKIC	0.192455	0.34815	3.2518	2018-06-3021:44:38
BK_Hust	0.188252	0.343959	3.2376	2018-06-3001:41:29
BachPropagate	0.209472	0.374823	1.8966	2018-07-0111:02:10
BeautyandBeast	0.172425	0.329254	2.8152	2018-06-1721:16:27
BeautyandBeast	0.177343	0.322212	2.9556	2018-06-3020:37:39
BeginNewYear	0.006464	0.005616	40.037	2018-06-1308:12:16
CECL	0.184686	0.332513	3.1106	2018-06-2919:00:34
CISA	0.172289	0.316178	3.2214	2018-06-0523:57:41
C_Research_DM	0.001637	0.001302	47.2448	2018-05-1613:44:26
CreamyFireflies	0.220651	0.38675	1.981	2018-06-2823:53:14
Csu320	0.001078	0.001393	50.0596	2018-06-3008:32:13
D2KLab	0.181343	0.326969	3.1042	2018-06-2918:20:51
D3M_UofT	0.215085	0.376407	5.6338	2018-06-2919:45:52
DGTeam	0.042723	0.126443	8.8168	2018-05-1711:09:12
DMIS	0.164932	0.317852	3.352	2018-06-3013:26:43
Dark_Horse_1	0.019724	0.039145	19.413	2018-06-3007:11:00
DefinitiveTurtles	0.208356	0.375582	2.1654	2018-06-2921:04:05
DieAbenteurer	0.16775	0.309552	3.2164	2018-06-2408:19:11
Elysium	0.198619	0.358333	2.4768	2018-05-1101:22:54
FIND	0.187389	0.342315	2.3486	2018-06-1200:27:10
FMI_For_Life	0.058523	0.102588	12.2542	2018-07-0108:23:48
Fire	0.059073	0.128845	15.1528	2018-06-2823:13:31
FishInMedi	0.173957	0.322556	2.356	2018-07-0105:54:31
FreshwaterSea	0.1954	0.351614	2.241	2018-06-2906:53:28
Gecko	0.118032	0.210887	8.623	2018-05-2412:33:49
HAIR	0.216779	0.381419	2.193	2018-06-2816:36:47
HitsHitsHits!	0.01738	0.035663	17.9772	2018-06-2820:39:50
IAI	0.049428	0.141543	8.934	2018-07-0111:40:07
IN3PD	0.207924	0.371931	2.0212	2018-06-2922:33:11
Itachi_Uchiha	0.043701	0.092339	10.6064	2018-05-0113:21:52
JAM	0.130581	0.219796	6.7162	2018-06-3000:55:05
JKU-Beta	0.075131	0.202909	6.251	2018-06-2718:27:11
