Team	RPREC	NDCG	CLICKS	DATE
10hours	0.076683	0.160864	28.7752	2018-06-0512:28:48
10hours	0.084351	0.179324	25.064199	2018-06-0617:57:16
10hours	0.097824	0.179324	25.064199	2018-06-0617:57:16
10hours	0.097824	0.179324	25.0642	2018-06-0617:57:16
4027	0.017037	0.071962	20.9258	2018-06-0907:21:00
4027	0.024892	0.093301	19.277	2018-06-2121:15:18
4027	0.024764	0.093801	18.9706	2018-06-2420:13:52
AdremDataLab	0.118906	0.253932	5.5232	2018-06-0310:15:14
AdremDataLab	0.137198	0.249606	6.9832	2018-06-0821:05:34
AdremDataLab	0.138666	0.253932	5.5232	2018-06-1318:35:25
AdremDataLab	0.121063	0.247157	6.7074	2018-06-2018:47:39
AdremDataLab	0.120732	0.241955	6.7106	2018-06-2322:20:29
AdremDataLab	0.127484	0.257673	4.9172	2018-06-2610:45:57
Anadolu	0.085833	0.220125	5.853	2018-05-0910:05:17
Anadolu	0.018461	0.059567	17.878201	2018-05-1122:25:23
Anadolu	0.026579	0.079823	15.7296	2018-05-1211:04:26
Anadolu	0.08671	0.221111	5.7242	2018-05-1301:44:13
Anadolu	0.086584	0.215944	5.585	2018-05-1416:26:41
Anadolu	0.087781	0.218306	5.448	2018-05-1516:26:40
Anadolu	0.085308	0.213645	5.8926	2018-05-1712:07:27
Anadolu	0.099204	0.241403	5.1322	2018-05-2016:53:34
Anadolu	0.118209	0.241403	5.1322	2018-05-2016:53:34
Anadolu	0.128213	0.252296	4.7004	2018-06-1512:20:02
Anadolu	0.157885	0.275718	3.069	2018-06-2116:04:33
Anadolu	0.163089	0.279834	2.9844	2018-06-2310:27:13
Anadolu	0.162429	0.280248	3.042	2018-06-2610:32:54
Anatolian	0.15757	0.290537	4.5856	2018-06-0909:47:36
Anatolian	0.145306	0.268582	5.7504	2018-06-1417:34:24
Anatolian	0.15757	0.290537	4.5856	2018-06-2121:49:40
Avito	0.16428	0.345623	2.8908	2018-05-1014:43:38
Avito	0.027048	0.085318	12.466	2018-05-2215:50:25
Avito	0.171978	0.356828	2.7984	2018-06-0520:23:49
Avito	0.178634	0.364673	2.7154	2018-06-0723:19:48
Avito	0.203753	0.364673	2.7154	2018-06-0723:19:48
Avito	0.207204	0.369356	2.7012	2018-06-2201:47:48
Avito	0.20555	0.36935	2.657	2018-06-2323:41:05
Avito	0.205099	0.369336	2.6378	2018-06-2422:13:06
Avito	0.205099	0.369336	2.6378	2018-06-2519:40:02
Avito	0.207805	0.371953	2.7186	2018-06-2621:00:59
Avito	0.215251	0.385108	1.7884	2018-06-2916:08:18
Avito	0.175523	0.334163	1.938	2018-07-0100:42:38
Avito	0.215251	0.385108	1.7884	2018-07-0101:55:54
BKAI	0.04912	0.154488	7.1956	2018-05-2410:17:17
BKAI	0.106076	0.224412	6.1508	2018-06-0109:15:37
BKAI	0.049465	0.117275	11.7676	2018-06-0416:27:38
BKAI	0.105368	0.228291	6.1382	2018-06-0515:59:26
BKAI	0.090398	0.199985	6.973	2018-06-0716:38:10
BKAI	0.123859	0.224412	6.1508	2018-06-0902:52:04
BKAI	0.132129	0.254214	4.85	2018-06-1402:25:12
BKAI	0.183725	0.332274	4.066	2018-06-1613:18:43
BKAI	0.154297	0.296036	3.16	2018-06-2113:48:10
BKAI	0.183769	0.332577	4.0822	2018-06-2213:00:06
BKAI	0.09451	0.187609	9.1722	2018-06-2420:07:20
BKAI	0.163819	0.303501	3.1744	2018-06-2514:25:39
BKAI	0.182348	0.331274	3.0434	2018-06-2611:03:13
BKAI	0.186315	0.336057	3.0586	2018-06-2715:30:16
BKAI	0.173912	0.321996	3.4216	2018-06-2817:13:51
BKAI	0.186869	0.338068	4.5974	2018-06-2919:13:30
BKAI	0.186869	0.338068	4.5974	2018-06-3014:27:34
BKAI	0.193104	0.343418	2.505	2018-06-3022:40:58
BKAI	0.195473	0.353658	2.5226	2018-07-0104:47:56
BKIC	0.106076	0.224412	6.1508	2018-06-0109:03:50
BKIC	0.090409	0.199971	6.9748	2018-06-0516:01:24
BKIC	0.090414	0.199995	6.9734	2018-06-0608:29:47
BKIC	0.07732	0.159406	7.065	2018-06-1018:31:57
BKIC	0.143922	0.271984	4.6372	2018-06-1200:48:05
BKIC	0.163022	0.303328	4.2688	2018-06-1318:09:01
BKIC	0.18257	0.332071	4.1076	2018-06-1611:05:12
BKIC	0.044791	0.086434	19.840401	2018-06-2115:15:52
BKIC	0.178254	0.329293	3.9694	2018-06-2215:09:50
BKIC	0.18372	0.332358	4.0788	2018-06-2308:12:43
BKIC	0.185488	0.335644	3.0418	2018-06-2415:20:13
BKIC	0.184374	0.334464	3.05	2018-06-2511:06:35
BKIC	0.185262	0.334926	2.9748	2018-06-2623:08:23
BKIC	0.192913	0.347968	3.0204	2018-06-2712:41:20
BKIC	0.195473	0.353658	2.5226	2018-06-2810:48:50
BKIC	0.192753	0.350025	2.7604	2018-06-3014:51:03
BKIC	0.192455	0.34815	3.2518	2018-06-3021:44:38
BK_Hust	0.090405	0.199971	6.9748	2018-06-0522:33:09
BK_Hust	0.055245	0.137484	8.6094	2018-06-0614:55:30
BK_Hust	0.123251	0.228278	6.1388	2018-06-0916:57:10
BK_Hust	0.129936	0.241036	5.2524	2018-06-1200:27:23
BK_Hust	0.078692	0.185867	9.651	2018-06-1316:59:48
BK_Hust	0.172327	0.320382	4.2788	2018-06-1700:01:05
BK_Hust	0.157925	0.303338	4.4892	2018-06-2021:43:30
BK_Hust	0.186129	0.337009	3.0422	2018-06-2209:30:00
BK_Hust	0.179964	0.329595	4.1332	2018-06-2323:58:51
BK_Hust	0.119415	0.198639	4.6074	2018-06-2418:38:17
BK_Hust	0.039263	0.177207	13.5438	2018-06-2518:36:15
BK_Hust	0.151892	0.291301	4.1838	2018-06-2700:17:16
BK_Hust	0.186531	0.336881	3.1834	2018-06-2815:25:35
BK_Hust	0.188252	0.343959	3.2376	2018-06-3001:41:29
BachPropagate	0.178756	0.367226	2.3106	2018-06-0222:01:46
BachPropagate	0.179236	0.367676	2.5568	2018-06-0800:34:34
BachPropagate	0.202869	0.367064	2.3544	2018-06-1023:34:24
BachPropagate	0.198573	0.358155	4.0766	2018-06-2700:15:32
BachPropagate	0.203492	0.366339	1.97	2018-06-3004:19:18
BachPropagate	0.209472	0.374823	1.8966	2018-07-0111:02:10
BeautyandBeast	0.172425	0.329254	2.8152	2018-06-1721:16:27
BeautyandBeast	0.176246	0.307093	2.7526	2018-06-2114:42:04
BeautyandBeast	0.175954	0.315431	2.9678	2018-06-2223:59:13
BeautyandBeast	0.175103	0.322411	2.8866	2018-06-2321:21:39
BeautyandBeast	0.173939	0.323351	2.9498	2018-06-2423:08:19
BeautyandBeast	0.203757	0.364857	2.3496	2018-06-2523:56:16
BeautyandBeast	0.203757	0.364857	2.3496	2018-06-2623:37:18
BeautyandBeast	0.204311	0.368212	2.3334	2018-06-2722:06:04
BeautyandBeast	0.205336	0.368467	2.3092	2018-06-2823:33:00
BeautyandBeast	0.203903	0.370709	2.2634	2018-06-2923:45:43
BeautyandBeast	0.177343	0.322212	2.9556	2018-06-3020:37:39
BeginNewYear	0.000114	0.00056	49.319	2018-05-1503:03:36
BeginNewYear	0.000333	0.001408	46.8302	2018-05-1606:41:08
BeginNewYear	0.008956	0.039757	17.718201	2018-05-1706:31:12
BeginNewYear	0.017867	0.039757	17.718201	2018-05-1706:31:12
